sn,regional_bureau,phone1,phone2,phone3
1,Tigray National Regional State Health Bureau,034-440-79-89,034-440-79-0222,
2,Afar National Regional State Health Bureau,033-666-00-18,033-666-00-20,
3,Amhara National Regional State Health Bureau,058-220-09-22,,
4,Oromia National Regional State Health Bureau,0115-15-41-55,,
5,Somale National Regional State Health Bureau,025-775-20-22,,
6,Benshangule National Regional State Health Bureau,057-775-01-67,057-775-01-29,057-775-01-49
7,Gambella National Regional State Health Bureau,047-551-01-38,047-551-01-42,
8,SNNP National Regional State Health Bureau,046-220-73-08,,
9,Harari National Regional State Health Bureau,025-666-20-68,,
10,Adis Ababa City Administration Health Bureau,0115-51-39-11,,
11,Dire Dawa City Administration Health Bureau,025-11-23-30,,
